model,mean_cosine,top1,top5,top10,field_obj1_shape,field_obj1_colour,field_obj1_size,field_relation,field_obj2_shape,field_obj2_colour,field_obj2_size,field_all_fields
SmallCNN,0.7574971318244934,0.07692307692307693,0.2282051282051282,0.32051282051282054,0.22564102564102564,0.5358974358974359,0.49743589743589745,0.258974358974359,0.20512820512820512,0.4307692307692308,0.4153846153846154,0.07692307692307693
DeepCNN,0.9020529985427856,0.5948717948717949,0.8512820512820513,0.9128205128205128,0.7564102564102564,0.7461538461538462,0.7615384615384615,0.7846153846153846,0.7769230769230769,0.7230769230769231,0.7717948717948718,0.5948717948717949
ResNetTransfer,0.9129319190979004,0.6692307692307692,0.882051282051282,0.9358974358974359,0.8025641025641026,0.823076923076923,0.8128205128205128,0.8102564102564103,0.8128205128205128,0.8025641025641026,0.8179487179487179,0.6692307692307692
