model,mean_cosine,top1,top5,top10,field_number,field_colour,field_size,field_all_fields
SmallCNN,0.8056040406227112,0.04395604395604396,0.17582417582417584,0.3269230769230769,0.046703296703296704,0.978021978021978,0.5604395604395604,0.046703296703296704
DeepCNN,0.8344062566757202,0.08791208791208792,0.35714285714285715,0.5769230769230769,0.09615384615384616,1.0,0.6510989010989011,0.09615384615384616
ResNetTransfer,0.8614262938499451,0.3434065934065934,0.6895604395604396,0.8131868131868132,0.3791208791208791,1.0,0.7445054945054945,0.36538461538461536
